IQ-TREE multicore version 1.6.12 for Linux 64-bit built Aug 15 2019
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    william-f-chaparro-pico (AVX512, FMA3, 15 GB RAM)
Command: iqtree -s /home/usuario/Documents/Phylogeny_UIS/Nariño_Cat/Seqs_from_Ruiz-García_et_al_2023/alignmente_2_outgroups_SI.FASTA -m MFP -redo
Seed:    859137 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Dec  1 13:51:55 2023
Kernel:  AVX+FMA - 1 threads (12 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 12 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /home/usuario/Documents/Phylogeny_UIS/Nariño_Cat/Seqs_from_Ruiz-García_et_al_2023/alignmente_2_outgroups_SI.FASTA ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
Alignment has 22 sequences with 367 columns, 56 distinct patterns
22 parsimony-informative, 40 singleton sites, 305 constant sites
WARNING: Some sequence names are changed as follows:
NC_016470.1:2013-3582 -> NC_016470.1_2013-3582
NC_028302.1:1782-3355 -> NC_028302.1_1782-3355

                       Gap/Ambiguity  Composition  p-value
   1  NC_016470.1_2013-3582    0.27%    passed     99.25%
   2  NC_028302.1_1782-3355    0.27%    passed     93.30%
   3  MG230196.1               0.82%    passed     99.94%
   4  MG230197.1               0.82%    passed     99.82%
   5  MG230198.1               0.82%    passed     99.94%
   6  MG230199.1               0.82%    passed    100.00%
   7  MG230200.1               0.82%    passed     94.92%
   8  MG230201.1               0.82%    passed     99.82%
   9  MG230202.1               0.82%    passed     99.93%
  10  MG230203.1               0.82%    passed     99.34%
  11  MG230204.1               0.82%    passed     99.82%
  12  MG230205.1               0.82%    passed     93.89%
  13  MG230206.1               0.82%    passed     99.82%
  14  MG230207.1               0.82%    passed     99.94%
  15  MG230208.1               0.82%    passed     99.94%
  16  MG230209.1               0.82%    passed     99.94%
  17  MG230210.1               0.82%    passed     99.82%
  18  MG230211.1               0.82%    passed     96.52%
  19  MG230212.1               0.82%    passed     91.00%
  20  MG230213.1               0.82%    passed     99.82%
  21  MG230214.1               0.82%    passed     99.94%
  22  MG230232.1               0.82%    passed     97.59%
****  TOTAL                    0.77%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: MG230198.1 is identical to MG230196.1 but kept for subsequent analysis
NOTE: MG230201.1 is identical to MG230197.1 but kept for subsequent analysis
NOTE: MG230208.1 is identical to MG230207.1 but kept for subsequent analysis
NOTE: 6 identical sequences (see below) will be ignored for subsequent analysis
NOTE: MG230209.1 (identical to MG230196.1) is ignored but added at the end
NOTE: MG230204.1 (identical to MG230197.1) is ignored but added at the end
NOTE: MG230206.1 (identical to MG230197.1) is ignored but added at the end
NOTE: MG230210.1 (identical to MG230197.1) is ignored but added at the end
NOTE: MG230213.1 (identical to MG230197.1) is ignored but added at the end
NOTE: MG230214.1 (identical to MG230207.1) is ignored but added at the end

For your convenience alignment with unique sequences printed to /home/usuario/Documents/Phylogeny_UIS/Nariño_Cat/Seqs_from_Ruiz-García_et_al_2023/alignmente_2_outgroups_SI.FASTA.uniqueseq.phy

NOTE: Restoring information from model checkpoint file /home/usuario/Documents/Phylogeny_UIS/Nariño_Cat/Seqs_from_Ruiz-García_et_al_2023/alignmente_2_outgroups_SI.FASTA.model.gz

CHECKPOINT: Initial tree restored
NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test 286 DNA models (sample size: 367) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            988.201      29  2034.402     2039.565     2147.658
  2  JC+I          981.666      30  2023.333     2028.869     2140.494
  3  JC+G4         981.470      30  2022.940     2028.476     2140.101
  4  JC+I+G4       981.461      31  2024.921     2030.844     2145.987
  5  JC+R2         982.080      31  2026.159     2032.082     2147.226
  6  JC+R3         981.576      33  2029.153     2035.892     2158.030
 14  F81+F         981.999      32  2027.999     2034.322     2152.971
 15  F81+F+I       975.453      33  2016.907     2023.645     2145.783
 16  F81+F+G4      975.202      33  2016.404     2023.143     2145.281
 17  F81+F+I+G4    975.181      34  2018.362     2025.531     2151.144
 18  F81+F+R2      975.626      34  2019.252     2026.421     2152.034
 19  F81+F+R3      975.231      36  2022.462     2030.535     2163.056
 27  K2P           966.902      30  1993.804     1999.340     2110.965
 28  K2P+I         959.659      31  1981.319     1987.241     2102.385
 29  K2P+G4        959.423      31  1980.847     1986.769     2101.913
 30  K2P+I+G4      959.380      32  1982.759     1989.083     2107.731
 31  K2P+R2        959.747      32  1983.493     1989.817     2108.465
 32  K2P+R3        959.483      34  1986.966     1994.134     2119.748
 40  HKY+F         959.908      33  1985.815     1992.554     2114.692
 41  HKY+F+I       952.392      34  1972.783     1979.952     2105.566
 42  HKY+F+G4      952.035      34  1972.070     1979.238     2104.852
 43  HKY+F+I+G4    951.934      35  1973.868     1981.481     2110.555
 44  HKY+F+R2      952.233      35  1974.467     1982.080     2111.154
 45  HKY+F+R3      951.915      37  1977.831     1986.378     2122.329
 53  TNe           965.075      31  1992.149     1998.072     2113.215
 54  TNe+I         957.773      32  1979.546     1985.870     2104.518
 55  TNe+G4        957.493      32  1978.986     1985.309     2103.957
 56  TNe+I+G4      957.446      33  1980.892     1987.631     2109.769
 57  TNe+R2        957.594      33  1981.187     1987.926     2110.064
 58  TNe+R3        957.376      35  1984.752     1992.365     2121.440
 66  TN+F          957.552      34  1983.104     1990.273     2115.887
 67  TN+F+I        950.053      35  1970.107     1977.720     2106.795
 68  TN+F+G4       949.682      35  1969.364     1976.977     2106.052
 69  TN+F+I+G4     949.590      36  1971.180     1979.252     2111.773
 70  TN+F+R2       949.741      36  1971.482     1979.555     2112.075
 71  TN+F+R3       949.484      38  1974.969     1984.005     2123.373
 79  K3P           966.185      31  1994.369     2000.292     2115.435
 80  K3P+I         959.016      32  1982.033     1988.356     2107.004
 81  K3P+G4        958.784      32  1981.569     1987.892     2106.540
 82  K3P+I+G4      958.746      33  1983.492     1990.231     2112.369
 83  K3P+R2        958.800      33  1983.600     1990.339     2112.477
 84  K3P+R3        958.667      35  1987.335     1994.948     2124.022
 92  K3Pu+F        959.184      34  1986.367     1993.536     2119.150
 93  K3Pu+F+I      951.731      35  1973.463     1981.076     2110.151
 94  K3Pu+F+G4     951.379      35  1972.757     1980.371     2109.445
 95  K3Pu+F+I+G4   951.285      36  1974.570     1982.643     2115.163
 96  K3Pu+F+R2     951.360      36  1974.720     1982.793     2115.313
 97  K3Pu+F+R3     951.158      38  1978.317     1987.353     2126.720
105  TPM2+F        959.555      34  1987.110     1994.279     2119.893
106  TPM2+F+I      952.118      35  1974.236     1981.849     2110.924
107  TPM2+F+G4     951.796      35  1973.591     1981.204     2110.279
108  TPM2+F+I+G4   951.710      36  1975.419     1983.492     2116.012
109  TPM2+F+R2     951.754      36  1975.508     1983.580     2116.101
110  TPM2+F+R3     951.584      38  1979.168     1988.205     2127.572
118  TPM2u+F       959.555      34  1987.109     1994.278     2119.892
119  TPM2u+F+I     952.118      35  1974.236     1981.849     2110.923
120  TPM2u+F+G4    951.796      35  1973.591     1981.204     2110.279
121  TPM2u+F+I+G4  951.710      36  1975.419     1983.492     2116.012
122  TPM2u+F+R2    951.729      36  1975.458     1983.531     2116.051
123  TPM2u+F+R3    951.573      38  1979.146     1988.183     2127.550
131  TPM3+F        959.568      34  1987.136     1994.305     2119.918
132  TPM3+F+I      952.023      35  1974.046     1981.660     2110.734
133  TPM3+F+G4     951.669      35  1973.338     1980.952     2110.026
134  TPM3+F+I+G4   951.569      36  1975.137     1983.210     2115.730
135  TPM3+F+R2     951.572      36  1975.144     1983.217     2115.737
136  TPM3+F+R3     951.403      38  1978.806     1987.843     2127.210
144  TPM3u+F       959.568      34  1987.136     1994.304     2119.918
145  TPM3u+F+I     952.023      35  1974.046     1981.659     2110.734
146  TPM3u+F+G4    951.669      35  1973.338     1980.952     2110.026
147  TPM3u+F+I+G4  951.569      36  1975.137     1983.210     2115.730
148  TPM3u+F+R2    951.552      36  1975.104     1983.177     2115.697
149  TPM3u+F+R3    951.388      38  1978.777     1987.813     2127.181
157  TIMe          964.357      32  1992.714     1999.037     2117.685
158  TIMe+I        957.130      33  1980.261     1987.000     2109.138
159  TIMe+G4       956.860      33  1979.720     1986.459     2108.597
160  TIMe+I+G4     956.821      34  1981.641     1988.810     2114.424
161  TIMe+R2       956.765      34  1981.531     1988.699     2114.313
162  TIMe+R3       956.676      36  1985.353     1993.425     2125.946
170  TIM+F         956.828      35  1983.657     1991.270     2120.344
171  TIM+F+I       949.394      36  1970.789     1978.861     2111.382
172  TIM+F+G4      949.035      36  1970.069     1978.142     2110.662
173  TIM+F+I+G4    948.952      37  1971.904     1980.451     2116.402
174  TIM+F+R2      948.893      37  1971.787     1980.334     2116.285
175  TIM+F+R3      948.742      39  1975.484     1985.025     2127.793
183  TIM2e         964.084      32  1992.169     1998.492     2117.140
184  TIM2e+I       956.763      33  1979.526     1986.264     2108.403
185  TIM2e+G4      956.530      33  1979.060     1985.799     2107.937
186  TIM2e+I+G4    956.501      34  1981.002     1988.171     2113.785
187  TIM2e+R2      956.442      34  1980.884     1988.053     2113.667
188  TIM2e+R3      956.374      36  1984.749     1992.821     2125.342
196  TIM2+F        957.197      35  1984.395     1992.008     2121.083
197  TIM2+F+I      949.750      36  1971.500     1979.573     2112.093
198  TIM2+F+G4     949.409      36  1970.819     1978.891     2111.412
199  TIM2+F+I+G4   949.331      37  1972.661     1981.209     2117.160
200  TIM2+F+R2     949.262      37  1972.524     1981.071     2117.022
201  TIM2+F+R3     949.119      39  1976.238     1985.780     2128.547
209  TIM3e         964.738      32  1993.475     1999.799     2118.447
210  TIM3e+I       957.416      33  1980.831     1987.570     2109.708
211  TIM3e+G4      957.136      33  1980.272     1987.011     2109.149
212  TIM3e+I+G4    957.091      34  1982.182     1989.350     2114.964
213  TIM3e+R2      957.015      34  1982.030     1989.199     2114.812
214  TIM3e+R3      956.917      36  1985.835     1993.907     2126.428
222  TIM3+F        957.213      35  1984.427     1992.040     2121.114
223  TIM3+F+I      949.689      36  1971.378     1979.451     2111.971
